TableName,Module,Classification,RiskLevel,BeforeProblem,Action,IndexChange,SchemaChange,VerificationResult,BusinessValue,Status,Batch
wform_expenseexpenditure,workflow-form-template,ST-PROD,R2,费用报销表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_finishedproduct,workflow-form-template,ST-PROD,R2,产成品表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_finishedproductentry,workflow-form-template,ST-PROD,R2,产成品明细表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_incomerecognition,workflow-form-template,ST-PROD,R2,收入确认表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_letterservice,workflow-form-template,ST-PROD,R2,信函服务表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_materialrequisition,workflow-form-template,ST-PROD,R2,物料申请表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_materialrequisitionentry,workflow-form-template,ST-PROD,R2,物料申请明细表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_monthlyreport,workflow-form-template,ST-PROD,R2,月报表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_officesupplies,workflow-form-template,ST-PROD,R2,办公用品表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_outboundorder,workflow-form-template,ST-PROD,R2,出库单表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_outboundorderentry,workflow-form-template,ST-PROD,R2,出库单明细表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_outgoingapply,workflow-form-template,ST-PROD,R2,外出申请表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_paydistribution,workflow-form-template,ST-PROD,R2,付款分配表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_paymentapply,workflow-form-template,ST-PROD,R2,付款申请表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_postbatchtab,workflow-form-template,ST-PROD,R2,批处理表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_procurementmaterial,workflow-form-template,ST-PROD,R2,采购物料表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_procurementmaterialentry,workflow-form-template,ST-PROD,R2,采购物料明细表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_purchaselistentry,workflow-form-template,ST-PROD,R2,采购清单明细表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_quotationapproval,workflow-form-template,ST-PROD,R2,报价审批表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_receiptprocessing,workflow-form-template,ST-PROD,R2,收据处理表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_receiptsign,workflow-form-template,ST-PROD,R2,收据签收表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_rewardpunishment,workflow-form-template,ST-PROD,R2,奖惩表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_salesorderentry,workflow-form-template,ST-PROD,R2,销售订单明细表单(<100行;1行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,25
wform_salessupport,workflow-form-template,ST-PROD,R2,销售支持表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_staffovertime,workflow-form-template,ST-PROD,R2,员工加班表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_supplementcard,workflow-form-template,ST-PROD,R2,补卡表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_travelreimbursement,workflow-form-template,ST-PROD,R2,差旅报销表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_vehicleapply,workflow-form-template,ST-PROD,R2,车辆申请表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_violationhandling,workflow-form-template,ST-PROD,R2,违章处理表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_warehousereceipt,workflow-form-template,ST-PROD,R2,仓库入库单表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_warehousereceiptentry,workflow-form-template,ST-PROD,R2,仓库入库单明细表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_workcontactsheet,workflow-form-template,ST-PROD,R2,工作联系单表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
wform_zjf_wikxqi,workflow-form-template,ST-PROD,R2,自定义表单(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,25
WH_BasicData,warehouse-legacy,PRODUCT_CORE,R3+,仓库基础数据表(208行;legacy),NO-CHANGE,0,No,PASS,维持WH_* R3+保护(Stage B专项),CLOSED,26
WH_BillAutoID,warehouse-legacy,PRODUCT_CORE,R3+,仓库单据自动编号表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WH_* R3+保护,CLOSED,26
WH_CheckBillDetail,warehouse-legacy,PRODUCT_CORE,R3+,仓库验货单明细表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WH_* R3+保护,CLOSED,26
WH_CustomerClass,warehouse-legacy,PRODUCT_CORE,R3+,仓库客户分类表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WH_* R3+保护,CLOSED,26
WH_DepotMaterial,warehouse-legacy,PRODUCT_CORE,R3+,仓库物料表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WH_* R3+保护,CLOSED,26
WH_Dept,warehouse-legacy,PRODUCT_CORE,R3+,仓库部门表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WH_* R3+保护,CLOSED,26
WH_MaterialClass,warehouse-legacy,PRODUCT_CORE,R3+,仓库物料分类表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WH_* R3+保护,CLOSED,26
WH_Project,warehouse-legacy,PRODUCT_CORE,R3+,仓库项目表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WH_* R3+保护,CLOSED,26
WH_RemoveBill,warehouse-legacy,PRODUCT_CORE,R3+,仓库退货单表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WH_* R3+保护,CLOSED,26
WH_RemoveBillDetail,warehouse-legacy,PRODUCT_CORE,R3+,仓库退货单明细表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WH_* R3+保护,CLOSED,26
WH_StorageType,warehouse-legacy,PRODUCT_CORE,R3+,仓库存储类型表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WH_* R3+保护,CLOSED,26
WH_SupplierClass,warehouse-legacy,PRODUCT_CORE,R3+,仓库供应商分类表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WH_* R3+保护,CLOSED,26
WM_BasicData,warehouse-legacy,PRODUCT_CORE,R3+,仓库基础数据WM(<100行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护(Stage B专项),CLOSED,26
WM_Bill,warehouse-legacy,PRODUCT_CORE,R3+,仓库单据WM表(151行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护(数据虽大但legacy),CLOSED,26
WM_BillAutoID,warehouse-legacy,PRODUCT_CORE,R3+,仓库单据编号WM表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_BillDetail,warehouse-legacy,PRODUCT_CORE,R3+,仓库单据明细WM表(1629行;legacy;最大),NO-CHANGE,0,No,PASS,维持WM_* R3+保护(数据虽大但legacy),CLOSED,26
WM_CheckBill,warehouse-legacy,PRODUCT_CORE,R3+,仓库验货单WM表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_CheckBillDetail,warehouse-legacy,PRODUCT_CORE,R3+,仓库验货单明细WM表(1613行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_Client,warehouse-legacy,PRODUCT_CORE,R3+,仓库客户WM表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_ClientClass,warehouse-legacy,PRODUCT_CORE,R3+,仓库客户分类WM表(空表;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_Depot,warehouse-legacy,PRODUCT_CORE,R3+,仓库WM表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_DepotMaterial,warehouse-legacy,PRODUCT_CORE,R3+,仓库物料WM表(空表;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_Dept,warehouse-legacy,PRODUCT_CORE,R3+,仓库部门WM表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_Employee,warehouse-legacy,PRODUCT_CORE,R3+,仓库员工WM表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_Material,warehouse-legacy,PRODUCT_CORE,R3+,仓库物料WM表(739行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护(数据虽大但legacy),CLOSED,26
WM_Project,warehouse-legacy,PRODUCT_CORE,R3+,仓库项目WM表(空表;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_RemoveBill,warehouse-legacy,PRODUCT_CORE,R3+,仓库退货单WM表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_RemoveBillDetail,warehouse-legacy,PRODUCT_CORE,R3+,仓库退货单明细WM表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_StorageClass,warehouse-legacy,PRODUCT_CORE,R3+,仓库存储分类WM表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_StorageType,warehouse-legacy,PRODUCT_CORE,R3+,仓库存储类型WM表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_Supplier,warehouse-legacy,PRODUCT_CORE,R3+,仓库供应商WM表(<100行;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_SupplierClass,warehouse-legacy,PRODUCT_CORE,R3+,仓库供应商分类WM表(空表;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
WM_TaxRate,warehouse-legacy,PRODUCT_CORE,R3+,税率WM表(空表;legacy),NO-CHANGE,0,No,PASS,维持WM_* R3+保护,CLOSED,26
ext_big_data,system-extension,ST-PROD,R2,大数据扩展表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,27
ext_document_share,system-extension,ST-PROD,R2,文档共享扩展表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,27
ext_email_receive,system-extension,ST-PROD,R2,邮件接收扩展表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,27
ext_order_receivable,system-extension,ST-PROD,R2,订单应收扩展表(<100行;1行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,27
ext_product_entry,system-extension,ST-PROD,R2,商品明细扩展表(<100行;12行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,27
ext_product_goods,system-extension,ST-PROD,R2,商品扩展表(<100行;10行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,27
ext_work_log_share,system-extension,ST-PROD,R2,工作日志共享扩展表(空表),NO-CHANGE,0,No,PASS,空表无需索引,CLOSED,27
inte_assistant_deliverable,inteAssistant,PRODUCT_CORE,R3+,inte_assistant交付物表(269行;Triple-Key完整),REFACTORED,2,No (Triple-Key Iron Law applied),PASS,加速inteAssistant交付物查询与回放,CLOSED,28
report_user,visualdata,PRODUCT_CORE,R2,报表用户表(283行;report_user),REFACTORED,2,No (lowercase f_tenant_id),PASS,加速报表用户查询,CLOSED,28
BASE_STUDIO_MENU,system-core-system,PRODUCT_CORE,R2,Studio菜单表(54行;F_TenantViewConfig为nvarchar(MAX)),REFACTORED,1,Yes (skip nvarchar(MAX) column),PASS,加速Studio菜单查询(配置表),CLOSED,28
BASE_FOUNDER_AUTH_LOG,system-core-system,PRODUCT_CORE,R2,创建者认证日志表(<100行;13行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,28
data_report,visualdata,PRODUCT_CORE,R2,报表数据表(<100行;15行;f_Content为nvarchar(MAX)),NO-CHANGE,0,No,PASS,小表无需索引(f_Content为nvarchar(MAX)),CLOSED,28
report_department,visualdata,PRODUCT_CORE,R2,报表部门表(<100行;12行),NO-CHANGE,0,No,PASS,小表无需索引,CLOSED,28
